disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
tuberculose,3547809,Santo André,sarima,2.776,3.802,-0.184,42.92,16.0
tuberculose,3547809,Santo André,seasonal_ma3,2.812,3.587,-0.053,45.47,16.0
tuberculose,3547809,Santo André,seasonal_naive,3.312,3.961,-0.284,53.14,16.0
tuberculose,3547809,Santo André,tft,2.83,3.757,-0.155,42.32,16.0
tuberculose,3547809,Santo André,xgboost,2.736,3.746,-0.149,42.54,16.0
tuberculose,3548500,Santos,catboost,2.1,2.715,0.236,36.26,16.0
tuberculose,3548500,Santos,deepar,2.678749978542328,3.4166174488364636,-0.20937205450166285,41.76432545585605,
tuberculose,3548500,Santos,gru,3.086,3.832,-0.521,45.93,16.0
tuberculose,3548500,Santos,lgbm,2.344,2.887,0.137,38.96,16.0
tuberculose,3548500,Santos,lstm,3.783,4.885,-1.472,50.16,16.0
tuberculose,3548500,Santos,nhits,3.378,3.823,-0.515,48.31,16.0
tuberculose,3548500,Santos,prophet,2.991,3.825,-0.516,44.78,16.0
tuberculose,3548500,Santos,sarima,2.037,2.583,0.309,34.86,16.0
tuberculose,3548500,Santos,seasonal_ma3,3.146,3.792,-0.49,51.55,16.0
tuberculose,3548500,Santos,seasonal_naive,3.312,3.717,-0.431,59.68,16.0
tuberculose,3548500,Santos,tft,2.702,3.477,-0.252,41.77,16.0
tuberculose,3548500,Santos,xgboost,2.325,2.922,0.115,38.83,16.0
tuberculose,3548708,São Bernardo do Campo,catboost,2.318,2.911,-0.081,42.01,16.0
tuberculose,3548708,São Bernardo do Campo,deepar,2.1843750029802322,2.8142683514205737,-0.010237781053668682,40.23858705934288,
tuberculose,3548708,São Bernardo do Campo,gru,2.388,3.217,-0.32,44.15,16.0
tuberculose,3548708,São Bernardo do Campo,lgbm,2.404,3.15,-0.265,43.72,16.0
tuberculose,3548708,São Bernardo do Campo,lstm,2.096,2.94,-0.102,38.08,16.0
tuberculose,3548708,São Bernardo do Campo,nhits,2.915,3.431,-0.501,66.85,16.0
tuberculose,3548708,São Bernardo do Campo,prophet,2.114,2.776,0.017,38.3,16.0
tuberculose,3548708,São Bernardo do Campo,sarima,2.437,3.042,-0.18,43.72,16.0
tuberculose,3548708,São Bernardo do Campo,seasonal_ma3,2.396,3.278,-0.37,43.35,16.0
tuberculose,3548708,São Bernardo do Campo,seasonal_naive,2.812,3.326,-0.411,53.18,16.0
tuberculose,3548708,São Bernardo do Campo,tft,2.768,3.474,-0.54,49.7,16.0
tuberculose,3548708,São Bernardo do Campo,xgboost,2.309,3.064,-0.198,41.65,16.0
tuberculose,3549805,São José do Rio Preto,catboost,0.967,1.124,0.215,62.8,16.0
tuberculose,3549805,São José do Rio Preto,deepar,1.3043750077486038,1.5302920568593261,-0.45509516382865844,89.08692864759087,
tuberculose,3549805,São José do Rio Preto,gru,1.767,2.111,-1.768,149.45,16.0
tuberculose,3549805,São José do Rio Preto,lgbm,1.109,1.353,-0.138,66.2,16.0
tuberculose,3549805,São José do Rio Preto,lstm,1.553,1.836,-1.094,123.42,16.0
tuberculose,3549805,São José do Rio Preto,nhits,1.58,1.996,-1.476,121.57,16.0
tuberculose,3549805,São José do Rio Preto,prophet,1.227,1.419,-0.251,78.67,16.0
tuberculose,3549805,São José do Rio Preto,sarima,1.176,1.451,-0.309,75.07,16.0
tuberculose,3549805,São José do Rio Preto,seasonal_ma3,1.229,1.417,-0.247,77.19,16.0
tuberculose,3549805,São José do Rio Preto,seasonal_naive,1.562,1.82,-1.058,94.82,16.0
tuberculose,3549805,São José do Rio Preto,tft,1.82,2.157,-1.891,150.02,16.0
tuberculose,3549805,São José do Rio Preto,xgboost,1.084,1.319,-0.081,68.59,16.0
tuberculose,3549904,São José dos Campos,catboost,1.277,1.719,-0.589,80.63,16.0
tuberculose,3549904,São José dos Campos,deepar,1.0024999901652336,1.276743908329522,0.12332100439311966,75.9298901495018,
tuberculose,3549904,São José dos Campos,gru,1.557,1.958,-1.062,110.75,16.0
tuberculose,3549904,São José dos Campos,lgbm,1.354,1.816,-0.773,86.22,16.0
tuberculose,3549904,São José dos Campos,lstm,1.556,1.892,-0.926,110.72,16.0
tuberculose,3549904,São José dos Campos,nhits,1.757,2.174,-1.541,165.53,16.0
tuberculose,3549904,São José dos Campos,prophet,1.413,1.896,-0.933,130.68,16.0
tuberculose,3549904,São José dos Campos,sarima,1.445,1.99,-1.13,82.07,16.0
tuberculose,3549904,São José dos Campos,seasonal_ma3,1.188,1.609,-0.393,96.96,16.0
tuberculose,3549904,São José dos Campos,seasonal_naive,1.312,1.785,-0.714,81.56,16.0
tuberculose,3549904,São José dos Campos,tft,1.248,1.662,-0.486,98.76,16.0
tuberculose,3549904,São José dos Campos,xgboost,1.331,1.749,-0.645,86.61,16.0
tuberculose,3550308,São Paulo,catboost,18.572,20.868,-0.071,20.17,16.0
tuberculose,3550308,São Paulo,deepar,16.68375015258789,19.24067203032112,0.08957034078479797,18.702736517238773,
tuberculose,3550308,São Paulo,gru,16.387,20.597,-0.043,17.64,16.0
tuberculose,3550308,São Paulo,lgbm,18.714,22.269,-0.22,20.09,16.0
tuberculose,3550308,São Paulo,lstm,17.018,19.951,0.021,18.28,16.0
tuberculose,3550308,São Paulo,nhits,16.704,20.141,0.002,18.07,16.0
tuberculose,3550308,São Paulo,prophet,17.537,23.215,-0.325,18.63,16.0
tuberculose,3550308,São Paulo,sarima,17.502,20.142,0.002,18.92,16.0
tuberculose,3550308,São Paulo,seasonal_ma3,15.0,18.616,0.148,16.67,16.0
tuberculose,3550308,São Paulo,seasonal_naive,16.625,19.449,0.07,18.09,16.0
tuberculose,3550308,São Paulo,tft,15.105,19.404,0.074,16.31,16.0
tuberculose,3550308,São Paulo,xgboost,18.21,20.879,-0.072,19.76,16.0
tuberculose,3551009,São Vicente,catboost,4.201,5.821,-1.195,37.62,16.0
tuberculose,3551009,São Vicente,deepar,3.586874783039093,5.053950672534117,-0.6549883205528884,31.57787496908664,
tuberculose,3551009,São Vicente,gru,2.942,4.539,-0.335,27.7,16.0
tuberculose,3551009,São Vicente,lgbm,3.813,5.12,-0.699,34.61,16.0
tuberculose,3551009,São Vicente,lstm,2.878,4.388,-0.247,26.87,16.0
tuberculose,3551009,São Vicente,nhits,4.208,5.114,-0.694,36.8,16.0
tuberculose,3551009,São Vicente,prophet,3.534,4.518,-0.322,31.72,16.0
tuberculose,3551009,São Vicente,sarima,5.179,6.27,-1.547,42.62,16.0
tuberculose,3551009,São Vicente,seasonal_ma3,3.208,4.813,-0.501,31.31,16.0
tuberculose,3551009,São Vicente,seasonal_naive,4.125,5.362,-0.863,39.83,16.0
tuberculose,3551009,São Vicente,tft,3.622,4.812,-0.5,32.16,16.0
tuberculose,3551009,São Vicente,xgboost,3.629,5.252,-0.787,32.44,16.0
tuberculose,3552205,Sorocaba,catboost,0.721,1.056,-0.053,87.76,16.0
tuberculose,3552205,Sorocaba,deepar,0.860624996945262,1.0052021017042851,0.045496664541320064,113.59867987399339,
tuberculose,3552205,Sorocaba,gru,0.956,1.278,-0.543,142.55,16.0
tuberculose,3552205,Sorocaba,lgbm,0.762,1.062,-0.066,100.03,16.0
tuberculose,3552205,Sorocaba,lstm,1.236,1.558,-1.294,137.9,16.0
tuberculose,3552205,Sorocaba,nhits,1.019,1.311,-0.622,151.09,16.0
tuberculose,3552205,Sorocaba,prophet,0.876,1.332,-0.676,143.01,16.0
tuberculose,3552205,Sorocaba,sarima,0.804,1.099,-0.141,113.56,16.0
tuberculose,3552205,Sorocaba,seasonal_ma3,0.896,1.25,-0.476,125.85,16.0
tuberculose,3552205,Sorocaba,seasonal_naive,1.0,1.414,-0.889,128.57,16.0
tuberculose,3552205,Sorocaba,tft,0.959,1.191,-0.34,121.27,16.0
tuberculose,3552205,Sorocaba,xgboost,0.735,1.062,-0.064,97.5,16.0
tuberculose,3554102,Taboão da Serra,catboost,1.515,1.784,-0.425,69.45,16.0
tuberculose,3554102,Taboão da Serra,deepar,1.9787499606609344,2.438367733798823,-1.6609844834601208,73.21765172925501,
tuberculose,3554102,Taboão da Serra,gru,1.691,2.16,-1.088,66.21,16.0
tuberculose,3554102,Taboão da Serra,lgbm,1.509,1.787,-0.429,68.18,16.0
tuberculose,3554102,Taboão da Serra,lstm,1.507,1.983,-0.759,62.72,16.0
tuberculose,3554102,Taboão da Serra,nhits,1.767,2.044,-0.87,128.58,16.0
tuberculose,3554102,Taboão da Serra,prophet,1.343,1.635,-0.196,64.63,16.0
tuberculose,3554102,Taboão da Serra,sarima,1.359,1.728,-0.337,62.92,16.0
tuberculose,3554102,Taboão da Serra,seasonal_ma3,1.479,1.714,-0.315,76.67,16.0
tuberculose,3554102,Taboão da Serra,seasonal_naive,1.875,2.345,-1.462,98.15,16.0
tuberculose,3554102,Taboão da Serra,tft,1.783,2.133,-1.036,69.66,16.0
tuberculose,3554102,Taboão da Serra,xgboost,1.419,1.68,-0.263,66.05,16.0
