model,disease,horizon,mae,rmse,r2,smape,recall_nz,precision_nz,mae_std_origin,mae_std_seed
lgbm,hepatite,12,0.2459216096994417,0.6173906946029369,0.4293633816729993,185.5643688934844,0.8,0.6153846153846154,0.1207566731287329,
lstm,hepatite,12,0.2007524224635883,0.824723856088997,0.38775346910319,187.43513178006796,0.8,0.8,0.1132235556708701,
nhits,hepatite,12,0.2574012688771331,1.0134063597180665,0.0755648095184859,199.03180188365815,0.1,1.0,0.1201656116091693,
prophet,hepatite,12,0.2244246670472661,0.7427282192261307,0.4340794481071431,164.39635796961795,0.4,1.0,0.113780593331118,
sarima,hepatite,12,0.2628483218379096,0.6553384173408588,0.3714123644644967,186.02368561865444,0.8,0.4705882352941176,0.1220638525295677,
seasonal_ma3,hepatite,12,0.2463768131059149,0.6597437652823855,0.4142896192504581,151.68760648094522,0.6,0.375,0.1064995558561244,
seasonal_naive,hepatite,12,0.2282608695652173,0.7781962377504023,-0.0447239896731174,123.84615384615384,0.7,0.6363636363636364,0.0416272655546234,
tft,hepatite,12,0.2416327482033889,0.9039392991171982,0.2644914011572276,193.3489722757608,0.4,0.8,0.1393391333776312,
xgboost,hepatite,12,0.2381132121056156,0.6105139704066159,0.4758022468841753,185.59177637181165,0.7,0.5833333333333334,0.115211378501854,
catboost,hiv_aids,1,3.037609862573256,7.3148067076816,0.9166932257203664,71.99800204104928,1.0,0.8043478260869565,0.6811325679261895,
deepar,hiv_aids,1,2.6372826734314794,5.495016764946332,0.9560943861768614,78.55849773259276,0.9459459459459459,0.8433734939759037,0.39841758674035616,
gru,hiv_aids,1,2.879178121131408,6.296737684576101,0.9423481547101862,112.9365386635534,0.6891891891891891,0.9622641509433962,0.744637700584452,
lgbm,hiv_aids,1,2.8381935013681594,6.752846391115111,0.9293064670369762,71.84092172923059,1.0,0.8604651162790697,0.7843048153957634,
lstm,hiv_aids,1,3.0260318854072,6.607219667418676,0.9365225457176388,109.62076142386252,0.6891891891891891,0.9444444444444444,0.762022174874506,
nhits,hiv_aids,1,4.407818803517407,11.278863976967244,0.8150251312408606,151.16117729035608,0.4189189189189189,1.0,2.0413034453907364,
prophet,hiv_aids,1,3.930059927270376,9.71145639556409,0.8546343391779578,96.2731202816328,0.8243243243243243,0.8591549295774648,0.9216301538994331,
sarima,hiv_aids,1,2.5218068185697677,5.299017003397556,0.955187253605732,86.68239587547157,0.8783783783783784,0.8904109589041096,0.5933297791533254,
seasonal_ma3,hiv_aids,1,2.9275361503595887,5.49306223572057,0.9151786341290502,81.75947197357587,0.945945945945946,0.8433734939759037,1.3110401896958273,
seasonal_naive,hiv_aids,1,3.0543478260869565,6.340789709898158,0.8891130847644915,84.44877265618061,0.8513513513513513,0.8513513513513513,1.4391129207743778,
tft,hiv_aids,1,2.504828890953021,5.8827019276192845,0.9496805718747412,93.76788460665615,0.7837837837837838,0.90625,0.9834538088062924,
xgboost,hiv_aids,1,2.7533458447002843,6.191324457465697,0.9407218928508868,73.45528503681763,0.9864864864864864,0.8488372093023255,0.6044914379697862,
catboost,hiv_aids,3,2.21017902303262,3.8937290515390175,0.9706522047598534,85.35260002461109,1.0,0.7282608695652174,0.956829230517584,
deepar,hiv_aids,3,2.8258696260011713,5.854816493080445,0.9417933020977937,91.65437953172577,0.9850746268656716,0.7674418604651163,0.4742161183275168,
gru,hiv_aids,3,2.5803254685905146,5.86567233908459,0.9415772513437128,115.75231490529944,0.7313432835820896,0.9423076923076924,0.813752885229663,
lgbm,hiv_aids,3,2.419662790479003,4.58026677564096,0.9618690948372004,85.07721568503017,1.0,0.7444444444444445,0.920440396631078,
lstm,hiv_aids,3,2.5085823108218617,5.887282524531509,0.9411459786621866,110.76818074751604,0.7611940298507462,0.9444444444444444,0.8391255378151499,
nhits,hiv_aids,3,3.784160235397236,8.649162843706684,0.8729734406374533,155.40319470120352,0.417910447761194,0.9032258064516128,1.2518758124101108,
prophet,hiv_aids,3,2.9736690277937674,5.843169729909285,0.9284195049357344,100.97636641400786,0.835820895522388,0.8484848484848485,1.1113520722609729,
sarima,hiv_aids,3,2.1618790688782767,3.684073858373567,0.9758828428842192,98.95871488355502,0.8805970149253731,0.855072463768116,0.3383406443633904,
seasonal_ma3,hiv_aids,3,2.8442028300917666,4.996203239625838,0.927731805797754,93.37488663867182,0.9253731343283582,0.8157894736842105,0.5852843470790589,
seasonal_naive,hiv_aids,3,3.2934782608695654,7.09891207740761,0.8774495849324113,91.04732565428144,0.8656716417910447,0.8285714285714286,0.6850413589821187,
tft,hiv_aids,3,2.711286890488993,6.6653207822024765,0.92456228968945,99.82473672381192,0.8656716417910447,0.8529411764705882,0.938594753679732,
xgboost,hiv_aids,3,2.1639658938283506,3.8077962663608633,0.973280461716726,85.26159297273648,1.0,0.7613636363636364,0.8005789279046638,
catboost,hiv_aids,6,2.232462828328044,3.521935194763743,0.953353536352958,91.14577971721752,1.0,0.6739130434782609,0.7432943203735459,
deepar,hiv_aids,6,2.7467391374318497,5.725746633329394,0.8946622414694174,103.00966947609705,0.9354838709677419,0.6666666666666666,0.8741406591491016,
gru,hiv_aids,6,3.965991242943857,11.410801792382998,0.5816380839499956,121.56549435023388,0.7419354838709677,0.8518518518518519,1.053083881751231,
lgbm,hiv_aids,6,2.3261183823664955,3.733229649182672,0.9299594876566348,92.75525395204257,0.9838709677419356,0.6777777777777778,1.1246699925429022,
lstm,hiv_aids,6,3.9786701777615385,12.179793060096118,0.5233499542509998,120.52874041422442,0.7580645161290323,0.8545454545454545,1.592654398151047,
nhits,hiv_aids,6,3.6087404345094938,8.166022225730444,0.7857400815563067,159.8349361419136,0.4193548387096774,0.8387096774193549,1.1806239922018504,
prophet,hiv_aids,6,3.261882229841873,7.435568319488188,0.6851426302673087,123.6708636273772,0.6451612903225806,0.7407407407407407,1.5026539903206844,
sarima,hiv_aids,6,2.919051539476799,6.158878982626557,0.7977850040670653,112.86862125448188,0.8064516129032258,0.7692307692307693,1.4476738781918808,
seasonal_ma3,hiv_aids,6,3.771739131730536,9.056072761038022,0.522064241409905,102.6839432629514,0.9032258064516128,0.717948717948718,1.950567931644235,
seasonal_naive,hiv_aids,6,2.9782608695652177,6.128099208040612,0.7565603086888376,97.47062203962972,0.7903225806451613,0.7777777777777778,1.6945369799917462,
tft,hiv_aids,6,4.051892837937529,11.934621710927471,0.5423461337009471,106.33090088779396,0.8870967741935484,0.7857142857142857,1.3850069083447278,
xgboost,hiv_aids,6,2.3340485685545467,4.021517001858146,0.9319018356725874,93.31281039294475,0.967741935483871,0.6976744186046512,0.8670884973693007,
catboost,hiv_aids,12,2.504655661701287,4.145531528223686,0.956949349041785,80.91068035093919,1.0,0.782608695652174,0.7124483743200443,
deepar,hiv_aids,12,2.2106522906409656,4.109468822636507,0.9589767915324158,88.64784642766958,0.9166666666666666,0.8148148148148148,0.5537847342956913,
gru,hiv_aids,12,3.222031293979645,8.107463900866007,0.8403281741948854,115.68632602096226,0.6666666666666666,0.9056603773584906,0.8815616371425532,
lgbm,hiv_aids,12,3.269622654129792,6.564858173455278,0.8826721063154073,85.11323708853,0.9861111111111112,0.797752808988764,0.8289651581347613,
lstm,hiv_aids,12,3.1554221423101327,8.042571382323544,0.8428739863134618,107.95308776121372,0.6944444444444444,0.925925925925926,0.680351539853763,
nhits,hiv_aids,12,4.112512698467158,9.168126872915092,0.7958170503444741,163.15521232734653,0.3611111111111111,0.896551724137931,1.263269359824531,
prophet,hiv_aids,12,3.020434852526445,6.112303643060342,0.907059247708558,108.68307214026608,0.6527777777777778,0.8703703703703703,0.8021681840771492,
sarima,hiv_aids,12,3.269852933797824,5.57130573513456,0.917517233183478,108.87551910712764,0.7777777777777778,0.875,0.4997988176289446,
seasonal_ma3,hiv_aids,12,2.931159473631693,5.592670799632172,0.9052196752144502,89.05727569420257,0.9027777777777778,0.7926829268292683,0.7080591511548896,
seasonal_naive,hiv_aids,12,3.619565217391304,5.588132087647368,0.9215615246197378,114.47225572443618,0.7777777777777778,0.7777777777777778,0.5364766382283942,
tft,hiv_aids,12,3.5567745960290424,9.136713723815785,0.7972138549909993,101.49834967335693,0.8194444444444444,0.8939393939393939,0.7629474344296967,
xgboost,hiv_aids,12,3.003815887738829,5.683444319211371,0.9093173246669471,86.01643833725466,0.9722222222222222,0.8045977011494253,0.4470586848756427,
catboost,sifilis,1,2.80757135534787,5.817510830526169,0.88481162882892,82.61522153910899,0.9295774647887324,0.8571428571428571,0.4010095857295031,
deepar,sifilis,1,2.647608790182225,4.264108185001435,0.9406681949197541,92.45271426585072,0.8873239436619719,0.8289473684210527,0.4416713167231198,
gru,sifilis,1,3.598725681325873,6.749797321236269,0.8513336782026429,118.52131760149469,0.676056338028169,0.8888888888888888,0.4395313986985387,
lgbm,sifilis,1,2.6855279960186023,4.774335778746134,0.920974424547466,85.90002671866816,0.9154929577464788,0.8666666666666667,0.4671585507225314,
lstm,sifilis,1,3.993240578567301,7.714155460104904,0.8058184758968114,120.38763951641668,0.704225352112676,0.8620689655172413,0.5757799038396776,
nhits,sifilis,1,3.084180635594873,5.0607403622280485,0.9164282983160484,108.65662325070753,0.7887323943661971,0.9032258064516128,0.6601482796456484,
prophet,sifilis,1,2.732771249369576,4.615504727111828,0.92355295927573,88.67563754860277,0.9014084507042254,0.8767123287671232,0.6301149306860346,
