model,disease,horizon,n,mae,rmse,r2,smape,mape,origin
catboost,hepatite,12,23,0.4367077346893458,1.3656799175316536,0.2992697542244598,196.84807582362907,19.97280987566505,origin_202112
xgboost,hepatite,12,23,0.4003924232624147,1.3549592232825507,0.3102281471695869,197.02652705995027,15.881201341424301,origin_202112
prophet,hepatite,12,23,0.3254186386802336,1.442862939740551,0.21782636231406394,188.00656854064545,6.254697570821157,origin_202112
seasonal_naive,hepatite,1,23,0.17391304347826086,0.41702882811414954,0.13207547169811384,166.66666666666666,15.217391304347828,origin_202212
seasonal_ma3,hepatite,1,23,0.21739130823508554,0.4557734917671963,-0.03668766695248471,177.7777777777778,19.56521778003029,origin_202212
sarima,hepatite,1,23,0.26637030118141974,0.7971660943946671,-2.1713738745824944,193.49878096806364,18.703121158048354,origin_202212
lgbm,hepatite,1,23,0.2176065793730597,0.5550815420295285,-0.5376708413367357,190.99632741759632,16.430293084401924,origin_202212
catboost,hepatite,1,23,0.2154831495540849,0.4900184098102741,-0.1983249452182212,191.16528756979122,17.05545482943034,origin_202212
xgboost,hepatite,1,23,0.24538843509862604,0.6958866757247444,-1.4167228530538059,191.13285164490802,17.603428449238773,origin_202212
prophet,hepatite,1,23,0.08362592088526015,0.2523681305466087,0.6821524793967249,167.84438939737583,6.936885070932584,origin_202212
seasonal_naive,hepatite,3,23,0.391304347826087,1.681096950363583,-34.59523809523809,133.33333333333331,39.130434782608695,origin_202212
seasonal_ma3,hepatite,3,23,0.3188405801420626,0.9008852329229016,-9.222222222222218,183.33333296080428,31.88405801420626,origin_202212
sarima,hepatite,3,23,0.3671038915696128,1.208116667311449,-17.38332789264516,194.43376500817152,36.710389156961284,origin_202212
lgbm,hepatite,3,23,0.4166713270331712,1.4544205011546607,-25.643198283825644,189.87073327523512,41.66713270331712,origin_202212
catboost,hepatite,3,23,0.3469326721486082,1.090623526635873,-13.981527834631732,189.5162403597409,34.69326721486082,origin_202212
xgboost,hepatite,3,23,0.3651399093315653,1.2172331053076944,-17.661815544656175,189.99228628014023,36.513990933156535,origin_202212
prophet,hepatite,3,23,0.22010436581069695,0.554010845680006,-2.865831453865211,191.07596206018874,22.010436581069694,origin_202212
seasonal_naive,hepatite,6,23,0.43478260869565216,0.9780192938436515,0.14527027027027062,160.0,25.0,origin_202212
seasonal_ma3,hepatite,6,23,0.40579709928968677,0.9220854263635656,0.24024025130424087,146.26623252391008,20.048309128353562,origin_202212
sarima,hepatite,6,23,0.3616786870411122,0.7597813815764191,0.48416446185641737,184.88998547316302,20.171123086617875,origin_202212
lgbm,hepatite,6,23,0.32327797568743494,0.6870332282493654,0.578216632763149,182.04941798844513,19.322404749715556,origin_202212
catboost,hepatite,6,23,0.40902730219584277,0.8702554909479476,0.3232511761338631,183.9197327597344,21.78730402654755,origin_202212
xgboost,hepatite,6,23,0.2957681176131186,0.6472891266142463,0.6256045271856845,179.8965858729821,18.143436015732046,origin_202212
