model,disease,horizon,n,mae,rmse,r2,smape,mape,origin
lgbm,hanseniase,12,23,0.38128603502692215,0.6386031863783411,-0.5862766300456601,183.29995715301285,34.50442454966014,origin_202212
catboost,hanseniase,12,23,0.37136375635160823,0.5883456710488307,-0.3464241364085632,183.13565802400893,33.47167250154558,origin_202212
xgboost,hanseniase,12,23,0.37043023109436035,0.5742818048590002,-0.2828234106354903,182.77877904318095,33.54423687509868,origin_202212
prophet,hanseniase,12,23,0.4178248892359608,0.6990377547503162,-0.9007194924823987,185.47201451323065,38.455204694679885,origin_202212
seasonal_naive,hepatite,1,23,0.391304347826087,0.8597269536210951,-0.03439153439153375,186.66666666666666,29.347826086956523,origin_201912
seasonal_ma3,hepatite,1,23,0.3913043452345807,0.9453675418579969,-0.25073483726475065,163.65384541101443,27.17391281672146,origin_201912
sarima,hepatite,1,23,0.34888501941330174,0.7186529174634804,0.2772264382355286,194.59911653412107,26.35279429653587,origin_201912
lgbm,hepatite,1,23,0.3442393431525657,0.78706080722101,0.13307715913933338,186.31843570159452,25.15399166023465,origin_201912
catboost,hepatite,1,23,0.3182818865865329,0.6145342839274234,0.4714864755062462,184.19766528574084,24.588523610124387,origin_201912
xgboost,hepatite,1,23,0.3534706557250541,0.7936365545147689,0.11853068579302439,186.82992753268596,25.53773604981277,origin_201912
prophet,hepatite,1,23,0.31222510992351304,0.8929603624117166,-0.11590759914165938,189.72254480438437,18.74548220760305,origin_201912
seasonal_naive,hepatite,3,23,0.17391304347826086,0.41702882811414954,0.24590163934426257,133.33333333333331,17.391304347826086,origin_201912
seasonal_ma3,hepatite,3,23,0.13043478260869565,0.2506031360363625,0.7276867055936368,134.99999928474426,11.594202984934268,origin_201912
sarima,hepatite,3,23,0.14638629106074424,0.24480076763355244,0.7401507952772658,177.453964587312,13.35366854589774,origin_201912
lgbm,hepatite,3,23,0.1153314848507812,0.1795616991314848,0.8601948228889548,176.6976654148337,10.764580976190699,origin_201912
catboost,hepatite,3,23,0.17158401983732677,0.31232158667011006,0.5770394657248242,179.67513340283642,14.683528851751385,origin_201912
xgboost,hepatite,3,23,0.12005747968088025,0.19874279645710868,0.8287310504347539,176.65118166553086,11.560666868868081,origin_201912
prophet,hepatite,3,23,0.09929913476175983,0.2537123928435329,0.7208875531853696,132.11749532216731,8.771973431431714,origin_201912
seasonal_naive,hepatite,6,23,0.34782608695652173,0.7223151185146152,-3.6000000000000005,200.0,34.78260869565217,origin_201912
seasonal_ma3,hepatite,6,23,0.3188405801420626,0.5646596995136126,-1.8111110806465165,188.8888886405362,31.88405801420626,origin_201912
sarima,hepatite,6,23,0.252804437802284,0.48421991962727895,-1.0672344044712645,181.06316736333065,25.280443780228403,origin_201912
lgbm,hepatite,6,23,0.3707797396639215,0.7500589449828249,-3.9601545780314664,186.2320889655489,37.07797396639215,origin_201912
catboost,hepatite,6,23,0.3320969222066226,0.5933251581140643,-2.103772986330351,186.71420790778194,33.20969222066226,origin_201912
xgboost,hepatite,6,23,0.3315782713622827,0.65073775305899,-2.733502345042719,186.92183388558354,33.15782713622827,origin_201912
prophet,hepatite,6,23,0.24879527668173743,0.5250885883899479,-1.4309139262122867,177.0759131763011,24.879527668173743,origin_201912
seasonal_naive,hepatite,12,23,0.17391304347826086,0.5107539184552492,0.46511627906976716,66.66666666666666,8.695652173913043,origin_201912
seasonal_ma3,hepatite,12,23,0.188405797533367,0.47650093097198354,0.5344530636128627,93.50649291223148,11.59420292014661,origin_201912
sarima,hepatite,12,23,0.22592980243132585,0.41392654347531677,0.6486964650576706,168.0383494672267,16.993609255613613,origin_201912
lgbm,hepatite,12,23,0.21603527786853616,0.48310101104397124,0.5214670369956078,170.41946985255777,14.662336171355983,origin_201912
catboost,hepatite,12,23,0.21775107522448953,0.4385361890313381,0.6056817820593854,168.9094059250449,16.375795175847045,origin_201912
xgboost,hepatite,12,23,0.21064247130213873,0.46138268539168686,0.5635258268270531,170.0837793555653,14.476852317381164,origin_201912
prophet,hepatite,12,23,0.2830839013003286,0.6305253867762914,0.18484326619221525,153.3957684782308,19.1923884804965,origin_201912
seasonal_naive,hepatite,1,23,0.391304347826087,1.0,-3.990566037735846,200.0,34.78260869565217,origin_202012
seasonal_ma3,hepatite,1,23,0.2463768111622852,0.4963635837518964,-0.229559726872534,163.33333297570545,22.463768072750256,origin_202012
sarima,hepatite,1,23,0.1984131394477482,0.3792850889356657,0.2820712497504999,186.59581326915566,17.822535465157245,origin_202012
lgbm,hepatite,1,23,0.19913511709004936,0.39131615550804594,0.23580293911240702,189.0527668788034,17.789192593561275,origin_202012
catboost,hepatite,1,23,0.23217676545195615,0.46319337151692747,-0.07071645841234409,187.97631207813805,21.14725987181223,origin_202012
xgboost,hepatite,1,23,0.22430658723106203,0.3990913473637476,0.20513306629260952,187.7011552520339,20.66905044383653,origin_202012
prophet,hepatite,1,23,0.09726804663752402,0.2895138006349303,0.5816995343299487,176.91818178835638,7.68151569490777,origin_202012
seasonal_naive,hepatite,3,23,0.13043478260869565,0.3611575592573076,0.6208791208791208,116.66666666666666,10.869565217391305,origin_202012
seasonal_ma3,hepatite,3,23,0.1594202907189079,0.3475240238427389,0.6489621481252094,138.0952377759275,13.768116028412528,origin_202012
sarima,hepatite,3,23,0.1628675758429692,0.3144729213995143,0.7125576237511793,179.13634774464273,12.732524064369608,origin_202012
lgbm,hepatite,3,23,0.17179373754403704,0.3098001846972022,0.7210363423190961,180.5628917199863,14.13742001514115,origin_202012
