model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred
seasonal_ma3,hanseniase,6,origin_201912,3549805,245,0.0,0.3333333432674408
seasonal_ma3,hanseniase,6,origin_201912,3549904,245,0.0,0.0
seasonal_ma3,hanseniase,6,origin_201912,3550308,245,0.0,5.333333492279053
seasonal_ma3,hanseniase,6,origin_201912,3551009,245,0.0,0.0
seasonal_ma3,hanseniase,6,origin_201912,3552205,245,0.0,0.0
seasonal_ma3,hanseniase,6,origin_201912,3554102,245,1.0,0.0
sarima,hanseniase,6,origin_201912,3505708,245,0.0,0.0917644053697586
sarima,hanseniase,6,origin_201912,3506003,245,1.0,-4.049631118774414
sarima,hanseniase,6,origin_201912,3509502,245,3.0,1.246776819229126
sarima,hanseniase,6,origin_201912,3510609,245,0.0,0.13333334028720856
