model,disease,horizon,mae,rmse,smape
sarima,tuberculose,1,3.081144293476625,5.482787209357829,68.10450725637517
sarima,tuberculose,3,2.9321271469917796,5.293116435029907,61.62867079010726
sarima,tuberculose,6,2.692127597346173,4.429101031910391,61.0975389209138
sarima,tuberculose,12,2.7281613742386037,4.530977402497216,60.98922995213142
seasonal_ma3,hanseniase,1,0.4456521800678709,0.9339149886387498,178.20487962906762
seasonal_ma3,hanseniase,3,0.46014493153147074,0.8571239816343761,163.81347938308426
seasonal_ma3,hanseniase,6,0.6594202910428462,1.8367652629600904,161.1739183888372
seasonal_ma3,hanseniase,12,0.4420289863710818,0.8356438993558027,138.01528587228466
seasonal_ma3,hepatite,1,0.24637681148622348,0.5711227461277097,155.35790561465882
seasonal_ma3,hepatite,3,0.26086956618920615,0.6998320557575657,161.607142505369
seasonal_ma3,hepatite,6,0.2934782621653183,0.5844951220608603,165.30663736594414
seasonal_ma3,hepatite,12,0.2463768131059149,0.6597437652823855,151.68760648094522
seasonal_ma3,hiv_aids,1,2.9275361503595887,5.49306223572057,81.75947197357587
seasonal_ma3,hiv_aids,3,2.8442028300917666,4.996203239625838,93.37488663867182
seasonal_ma3,hiv_aids,6,3.771739131730536,9.056072761038022,102.6839432629514
seasonal_ma3,hiv_aids,12,2.931159473631693,5.592670799632172,89.05727569420257
seasonal_ma3,sifilis,1,3.0326087131448416,4.830531201531243,98.25942686517863
seasonal_ma3,sifilis,3,2.8442029467095504,5.044170681543633,85.65394988872714
seasonal_ma3,sifilis,6,2.6449275975641995,3.9141067675014702,72.41170929839801
seasonal_ma3,sifilis,12,3.413043534626132,6.3644552741586855,80.60610678287438
seasonal_ma3,tuberculose,1,2.4166666975487834,3.2926207465144595,70.6666641936501
seasonal_ma3,tuberculose,3,2.992753622972447,5.152076545283503,65.38810109693998
seasonal_ma3,tuberculose,6,3.0072463605067004,5.420103384011275,68.66554859164917
seasonal_ma3,tuberculose,12,2.6739130366755566,4.371878923399186,60.12813407745333
seasonal_naive,hanseniase,1,0.36956521739130427,0.973178830332311,139.25796425796426
seasonal_naive,hanseniase,3,0.5108695652173912,1.02564551421461,163.53174603174602
seasonal_naive,hanseniase,6,0.7717391304347826,2.7225751408246612,155.6019377447949
seasonal_naive,hanseniase,12,0.46739130434782605,0.9382625911106441,138.67857142857144
seasonal_naive,hepatite,1,0.2608695652173913,0.6429099235112598,160.55555555555554
seasonal_naive,hepatite,3,0.2826086956521739,0.9526527967798482,140.83333333333331
seasonal_naive,hepatite,6,0.3043478260869565,0.6767827662730013,171.66666666666669
seasonal_naive,hepatite,12,0.22826086956521735,0.7781962377504023,123.84615384615384
seasonal_naive,hiv_aids,1,3.0543478260869565,6.340789709898158,84.44877265618061
seasonal_naive,hiv_aids,3,3.2934782608695654,7.09891207740761,91.04732565428144
seasonal_naive,hiv_aids,6,2.9782608695652177,6.128099208040612,97.47062203962972
seasonal_naive,hiv_aids,12,3.619565217391304,5.588132087647368,114.47225572443618
seasonal_naive,sifilis,1,3.413043478260869,5.710366684088907,96.67412550928411
seasonal_naive,sifilis,3,3.489130434782609,6.555394366724656,90.93104672150866
seasonal_naive,sifilis,6,3.4130434782608696,4.865191843675133,83.83109627003488
seasonal_naive,sifilis,12,3.8804347826086962,6.459933038657704,76.67437238364748
seasonal_naive,tuberculose,1,2.869565217391304,4.21870283568466,76.32651212264855
seasonal_naive,tuberculose,3,3.5434782608695654,6.004863547127314,73.97258147836791
seasonal_naive,tuberculose,6,3.217391304347826,5.115417616388218,69.2798309996323
seasonal_naive,tuberculose,12,3.1195652173913047,5.038373767259851,71.3926116729616
xgboost,hanseniase,1,0.3637542936181568,0.8226859975152762,187.01291486433178
xgboost,hanseniase,3,0.42166487297610095,0.7042187146523238,181.6329656178063
xgboost,hanseniase,6,0.476105073325174,1.278688909580373,179.76371354753573
xgboost,hanseniase,12,0.41346402245614194,0.7303406435225881,169.55490977099964
